Date,Open,High,Low,Close,Volume
2012-12-03,1373.000,1385.000,1314.000,1319.000,694060
2012-12-04,1309.000,1326.000,1296.000,1312.000,1372500
2012-12-05,1313.000,1345.000,1311.000,1331.000,1526500
2012-12-06,1333.000,1338.000,1320.000,1325.000,1005200
2012-12-07,1322.000,1340.000,1319.000,1331.000,903684
2012-12-10,1331.000,1344.000,1331.000,1336.000,630420
2012-12-11,1335.000,1337.000,1286.000,1293.000,1624300
2012-12-12,1289.000,1306.000,1283.000,1299.000,1755100
2012-12-13,1297.000,1312.000,1282.000,1288.000,1986800
2012-12-14,1287.000,1315.000,1283.000,1304.000,1926300
2012-12-17,1307.000,1335.000,1307.000,1327.000,1997100
2012-12-18,1328.000,1339.000,1316.000,1325.000,1888500
2012-12-19,1324.000,1353.000,1318.000,1351.000,2774300
2012-12-20,1348.000,1356.000,1342.000,1350.000,2593900
2012-12-21,1345.000,1354.000,1330.000,1335.000,1961200
2012-12-24,1336.000,1349.000,1334.000,1343.000,1234000
2012-12-25,1344.000,1363.000,1339.000,1352.000,1561000
2012-12-26,1351.000,1354.000,1344.000,1352.000,995884
2012-12-27,1358.000,1367.000,1349.000,1352.000,963506
2012-12-28,1353.000,1364.000,1343.000,1351.000,1175300
2012-12-31,1352.000,1365.000,1349.000,1363.000,500112
2013-01-04,1371.000,1425.000,1367.000,1425.000,1001700
2013-01-07,1440.000,1468.000,1433.000,1445.000,1558500
2013-01-08,1438.000,1470.000,1427.000,1458.000,2761400
2013-01-09,1459.000,1476.000,1452.000,1474.000,2100300
2013-01-10,1479.000,1484.000,1456.000,1463.000,2311300
2013-01-11,1462.000,1465.000,1428.000,1439.000,1916200
2013-01-14,1438.000,1502.000,1438.000,1502.000,1878700
2013-01-15,1520.000,1527.000,1490.000,1497.000,3006300
2013-01-16,1499.000,1515.000,1455.000,1500.000,4239900
2013-01-17,1503.000,1512.000,1491.000,1506.000,3961700
2013-01-18,1520.000,1521.000,1488.000,1496.000,3867600
2013-01-21,1495.000,1518.000,1484.000,1501.000,3225400
2013-01-22,1505.000,1508.000,1475.000,1490.000,3070300
2013-01-23,1492.000,1496.000,1472.000,1481.000,2053400
2013-01-24,1479.000,1489.000,1458.000,1467.000,2346400
2013-01-25,1470.000,1472.000,1459.000,1469.000,1305100
2013-01-28,1471.000,1496.000,1468.000,1491.000,1274700
2013-01-29,1574.000,1582.000,1568.000,1580.000,1218900
2013-01-30,1585.000,1591.000,1578.000,1580.000,1240500
2013-01-31,1578.000,1601.000,1577.000,1585.000,2457800
2013-02-01,1585.000,1596.000,1580.000,1594.000,1459100
2013-02-04,1599.000,1649.000,1594.000,1632.000,2402600
2013-02-05,1628.000,1646.000,1624.000,1635.000,1865600
2013-02-06,1639.000,1652.000,1624.000,1630.000,1863300
2013-02-07,1631.000,1633.000,1606.000,1623.000,1279500
2013-02-08,1620.000,1635.000,1618.000,1634.000,706434
2013-02-18,1631.000,1643.000,1606.000,1607.000,1376200
2013-02-19,1606.000,1616.000,1597.000,1613.000,1627300
2013-02-20,1619.000,1622.000,1601.000,1610.000,1355600
2013-02-21,1591.000,1595.000,1549.000,1558.000,2360200
2013-02-22,1558.000,1569.000,1539.000,1553.000,2350700
2013-02-25,1550.000,1574.000,1532.000,1558.000,2320500
2013-02-26,1548.000,1564.000,1532.000,1536.000,2365400
2013-02-27,1548.000,1562.000,1543.000,1558.000,2115598
2013-02-28,1566.000,1587.000,1565.000,1582.000,1573926
2013-03-01,1580.000,1581.000,1550.000,1568.000,1843832
2013-03-04,1557.000,1564.000,1502.000,1518.000,2940802
2013-03-05,1524.000,1532.000,1504.000,1527.000,2793004
2013-03-06,1530.000,1541.000,1518.000,1525.000,2162826
2013-03-07,1521.000,1521.000,1508.000,1518.000,1751892
2013-03-08,1524.000,1528.000,1485.000,1504.000,2770430
2013-03-11,1503.000,1508.000,1483.000,1496.000,2231190
2013-03-12,1500.000,1505.000,1481.000,1487.000,2384956
2013-03-13,1493.000,1493.000,1438.000,1449.000,2935302
2013-03-14,1439.000,1443.000,1409.000,1436.000,2939374
2013-03-15,1442.000,1480.000,1428.000,1451.000,2561908
2013-03-18,1434.000,1453.000,1420.000,1435.000,1993548
2013-03-19,1440.000,1458.000,1434.000,1450.000,1920464
2013-03-20,1445.000,1478.000,1445.000,1476.000,2296732
2013-03-21,1482.000,1493.000,1478.000,1488.000,1688500
2013-03-22,1478.000,1489.000,1473.000,1479.000,1267666
2013-03-25,1483.000,1492.000,1481.000,1484.000,892888
2013-03-26,1481.000,1484.000,1452.000,1458.000,1482032
2013-03-27,1463.000,1465.000,1453.000,1455.000,940674
2013-03-28,1455.000,1460.000,1437.000,1440.000,1185044
2013-03-29,1430.000,1443.000,1415.000,1437.000,1111102
2013-04-01,1432.000,1437.000,1400.000,1404.000,1710124
2013-04-02,1403.000,1427.000,1397.000,1426.000,1322010
2013-04-03,1424.000,1441.000,1421.000,1429.000,1287678
2013-04-08,1412.000,1444.000,1410.000,1441.000,964570
2013-04-09,1446.000,1454.000,1439.000,1449.000,1150222
2013-04-10,1452.000,1454.000,1425.000,1430.000,1208702
2013-04-11,1430.000,1444.000,1414.000,1416.000,1389400
2013-04-12,1413.000,1427.000,1413.000,1420.000,1333776
